DILMAH - MJF HO,6.964091,79.880288,Office,Professional & Other Places,178,38
Negombo Road Peliyagoda,6.966560,79.882825,Road,Travel & Transport,26,15
Salon Nayana,6.966949,79.875219,Salon / Barbershop,Shop & Service,4,4
Kanda Uda Junction,6.970117,79.873792,Rest Area,Travel & Transport,39,18
"Electrical Installation Workshop, HNDE",6.968465,79.877166,College Lab,College & University,3,2
Rodney Street,6.968745,79.877691,Road,Travel & Transport,2,2
St. James Church,6.967473,79.875061,Church,Professional & Other Places,9,6
Mega Mart,6.965608,79.882399,Toy / Game Store,Shop & Service,11,9
ADees Summer Hut,6.970963,79.876083,Beer Garden,Nightlife Spot,45,3
HNB,6.965687,79.882523,Bank,Shop & Service,8,5
Judaz Joint,6.970926,79.875821,Hookah Bar,Nightlife Spot,18,3
Victor,6.962975,79.876941,Department Store,Shop & Service,3,3
Lanka Filling Station Peliyagoda,6.964589,79.881912,Gas Station,Shop & Service,57,38
macwoods head office,6.965473,79.882355,Building,Professional & Other Places,2,2
Hero Abans,6.962643,79.881437,Motorcycle Shop,Shop & Service,7,6
Prince Plastics Industries (PVT) LTD,6.967019,79.883498,Factory,Professional & Other Places,208,9
Central Fish Market Complex,6.968555,79.888337,Fish Market,Shop & Service,128,85
Cargills Food City,6.968293,79.884034,Grocery Store,Shop & Service,133,95
ARAMEX,6.967007,79.883093,Post Office,Professional & Other Places,69,27
MAS ACTIVE Synergy,6.961288,80.210200,Factory,Professional & Other Places,94,7
Industrial Zone BOI,6.960401,80.209401,Factory,Professional & Other Places,73,54
Flag & Whistle,6.952584,79.858761,German Restaurant,Food,477,280
Colombo Dockyard PLC,6.953416,79.857199,Factory,Professional & Other Places,702,78
Cambridge College Of Higher Education,6.956428,79.861623,College Academic Building,College & University,34,4
MSJ Industries,6.955094,79.860452,Factory,Professional & Other Places,7,2
Nations Trust Bank Processing Center,6.952499,79.858911,Bank,Shop & Service,229,53
aluth mawatha road,6.958290,79.861716,Road,Travel & Transport,36,11
MercMarine,6.954994,79.859884,Office,Professional & Other Places,7,4
VTV Court,6.953262,79.867765,Residential Building (Apartment / Condo),Residence,254,15
Sri Lanka Customs - Export Facilitation Centre,6.954379,79.868340,Government Building,Professional & Other Places,12,7
Neurology unit,6.962780,79.869767,Medical Center,Professional & Other Places,14,8
walls lane,6.953598,79.866639,Residential Building (Apartment / Condo),Residence,18,10
Choot'z tuk tuk garage,6.954324,79.868120,Automotive Shop,Shop & Service,5,2
Sri Lanka Customs (Grey Line 2),6.956689,79.873406,Office,Professional & Other Places,69,30
AMW Service Center Peliyagoda,6.955790,79.866081,Automotive Shop,Shop & Service,52,21
Hungry Jack's,6.960902,79.873314,Burger Joint,Food,4,4
Grand Pila Hotel Pilawoos,6.962877,79.869936,Café,Food,11,7
Madhampitiya Maracas,6.961171,79.872693,Mosque,Professional & Other Places,37,7
Kelani Tissa Power Station,6.951902,79.877676,Building,Professional & Other Places,707,231
Express Way,6.955512,79.883170,Road,Travel & Transport,98,15
Colombo Port,6.959176,79.876100,Harbor / Marina,Outdoors & Recreation,53,33
Thotalaga Bus Stop,6.959117,79.876001,Bus Station,Travel & Transport,183,46
TVS Lanka Pvt Ltd,6.955066,79.875400,Bike Shop,Shop & Service,60,37
Mercedes-Benz Center - DIMO 800,6.957534,79.876023,Automotive Shop,Shop & Service,175,69
Peliyagoda Police Station,6.957193,79.882897,Police Station,Professional & Other Places,48,40
Thotalanga,6.960662,79.880977,Bus Station,Travel & Transport,228,94
Paliyagoda,6.952509,79.880201,Road,Travel & Transport,57,34
Thambapanni Bojun,6.953014,79.874853,Asian Restaurant,Food,4,4
Traffic Police Station,6.961755,79.881759,Police Station,Professional & Other Places,13,12
Nawaloka,6.962533,79.881524,Bus Stop,Travel & Transport,135,71
Shipping Management Logistics (Pvt) Ltd,6.953553,79.875113,Office,Professional & Other Places,2,2
Prasanna Batiks,6.954279,79.874251,Boutique,Shop & Service,5,3
Madhampitiya Cemetery,6.959111,79.872496,Cemetery,Outdoors & Recreation,10,9
4th Mile Post,6.955816,79.890710,Bus Station,Travel & Transport,1191,150
Lanka IOC,6.955755,79.886374,Gas Station,Shop & Service,61,24
Porsche Centre,6.957757,79.889102,Automotive Shop,Shop & Service,389,107
"Traffic division, North Range, Peliyagoda",6.955616,79.885455,Police Station,Professional & Other Places,16,13
Peliyagoda Highway Exit,6.955754,79.887243,Road,Travel & Transport,533,55
Laksiri Seva - U.P.B. Warehouse,6.958436,79.887894,Building,Professional & Other Places,58,19
KIA Workshop,6.959902,79.888065,Auto Workshop,Shop & Service,3,2
Art Television,6.958256,79.888824,Auto Workshop,Shop & Service,70,34
Impra Tea,6.956444,79.892028,Factory,Professional & Other Places,149,16
Millers Limited.,6.960739,79.891874,Building,Professional & Other Places,35,14
Kelaniya Railway Station,6.960931,79.894404,Train Station,Travel & Transport,2101,350
Pattiya Junction,6.960557,79.894575,Bus Station,Travel & Transport,1069,153
Sam's Room,6.963294,79.894362,Residential Building (Apartment / Condo),Residence,76,2
New Neelagiri Hotel & Bakery,6.961296,79.893295,Bakery,Food,6,3
Murals In Kelaniya Temple,6.957325,79.894728,Temple,Professional & Other Places,6,6
Cargills Food City,6.951686,79.905116,Convenience Store,Shop & Service,87,32
Sun Food,6.952141,79.903077,Chinese Restaurant,Food,57,22
Giridara Junction,6.953822,80.099270,Bus Station,Travel & Transport,54,16
Pizza Hut,6.953535,80.204077,Pizza Place,Food,30,19
Chandra Cinema,6.955129,80.205810,Movie Theater,Arts & Entertainment,2,2
Cafe Plus,6.954571,80.205897,Café,Food,7,6
Kelani Valley Hospital ( Pvt) Ltd.,6.955183,80.206414,Hospital,Professional & Other Places,12,4
Base Hospital Avissawella,6.956125,80.207188,Hospital,Professional & Other Places,51,22
Pizza Hut avissawella,6.955287,80.204219,Italian Restaurant,Food,19,10
Pizza Hut,6.953555,80.204813,Pizza Place,Food,7,6
Avissawella Rest House,6.954004,80.210244,Asian Restaurant,Food,49,11
Avissawella railway,6.953714,80.208069,Train Station,Travel & Transport,4,3
Rashmi,6.952482,80.213333,Clothing Store,Shop & Service,13,9
Don's Lake Holiday Resort,6.952899,80.215887,Clothing Store,Shop & Service,3,3
St. Anthony's Church,6.946705,79.856100,Church,Professional & Other Places,1435,364
Keells Super,6.948105,79.860929,Supermarket,Shop & Service,902,161
iCreative Works (Pvt) Ltd.,6.949538,79.862121,Office,Professional & Other Places,101,4
McDonalds,6.948017,79.860776,Fast Food Restaurant,Food,1139,425
Kotahena Street,6.949889,79.862745,General Travel,Travel & Transport,445,80
Commercial Bank Kotahena,6.946552,79.861159,Bank,Shop & Service,50,23
KFC,6.948281,79.859447,Fried Chicken Joint,Food,511,232
Orient Pharmacy,6.947628,79.862274,Pharmacy,Shop & Service,79,23
Sri Varatharaja Vinayagar Kovil,6.950086,79.862537,Hindu Temple,Professional & Other Places,19,5
Bonjean Road,6.948182,79.862285,General Travel,Travel & Transport,101,19
Cargills Food City Kotahena,6.948711,79.859496,Department Store,Shop & Service,426,115
Sri Vaishnavi Vihar,6.949191,79.862613,Indian Restaurant,Food,189,38
Zuzi,6.947353,79.862242,Clothing Store,Shop & Service,58,16
Shri Ponnambalavaneswarar Kovil,6.947578,79.857194,Hindu Temple,Professional & Other Places,574,131
Dilish,6.948441,79.862237,Bakery,Food,30,12
DFCC Bank,6.947779,79.861651,Bank,Shop & Service,34,2
Horton Place,6.949480,79.862034,Road,Travel & Transport,310,60
Pizza Hut,6.948756,79.859753,Pizza Place,Food,179,100
Sri Muththumari Ammam Kovil,6.949020,79.862515,Temple,Professional & Other Places,21,8
Jampettah Lane,6.946562,79.858468,General Travel,Travel & Transport,108,20
Informatics International Limited,6.948430,79.858533,IT Services,Shop & Service,2313,60
Commercial Bank,6.947784,79.861323,Building,Professional & Other Places,165,64
Sri Gunananda Mawatha,6.951200,79.860469,General Travel,Travel & Transport,46,6
Pickerings Road,6.949433,79.860530,General Travel,Travel & Transport,156,24
shima fresh fitness centre,6.947961,79.861410,Athletics & Sports,Outdoors & Recreation,9,2
George R. De Silva Mw,6.949250,79.857871,Bus Line,Travel & Transport,88,19
Bank of Ceylon Kotahena,6.948075,79.861142,Bank,Shop & Service,7,6
Sampath Bank,6.948223,79.860519,Bank,Shop & Service,180,42
Wasala Road,6.950983,79.864101,General Travel,Travel & Transport,200,39
Diesel & Motor Engineering PLC (DIMO),6.944439,79.866125,Office,Professional & Other Places,784,126
